"DateTime","city","country","shape"
2011-07-06,"eldorado","us","changing"
2013-02-04,"elgin","us","changing"
2011-12-12,"elizabeth","us","changing"
2004-09-01,"elkins","us","changing"
2011-02-18,"elkton","us","changing"
2000-08-19,"elkton","us","changing"
2004-01-17,"elliot lake (canada)","ca","changing"
2009-12-12,"elmira","us","changing"
2014-01-24,"encinitas","us","changing"
2010-08-24,"enfield","us","changing"
2014-01-30,"englewood","us","changing"
2008-08-12,"englewood","us","changing"
2012-09-24,"ennis","us","changing"
2010-04-13,"erie","us","changing"
2010-04-13,"erie","us","changing"
2011-06-20,"erin",NA,"changing"
2011-06-27,"erin",NA,"changing"
2002-02-22,"ermelo (netherlands)",NA,"changing"
2011-03-10,"escondido","us","changing"
2004-03-28,"escondido","us","changing"
2010-08-24,"essex (canada)","ca","changing"
2010-08-24,"essex (canada)","ca","changing"
1999-10-19,"estacada (near)","us","changing"
2001-04-28,"etowah","us","changing"
2004-01-22,"eugene","us","changing"
2005-01-11,"eugene","us","changing"
2014-02-07,"eugene","us","changing"
2000-09-17,"eugene","us","changing"
2005-10-11,"eugene","us","changing"
2008-07-05,"euharlee","us","changing"
2010-06-03,"euless","us","changing"
2012-01-24,"eureka","us","changing"
2008-02-14,"eustis","us","changing"
2002-08-16,"evans","us","changing"
2013-05-15,"everett","us","changing"
2003-09-04,"everett","us","changing"
1999-10-02,"everett","us","changing"
2007-02-01,"exeter","us","changing"
2006-10-30,"exeter","us","changing"
2010-11-21,"exeter (uk/england)","gb","changing"
2005-09-15,"fairfax","us","changing"
2010-05-12,"fairfield (east of)","us","changing"
2000-12-02,"fairview","us","changing"
2005-01-11,"fairview","us","changing"
2013-05-15,"fairview","us","changing"
2003-03-21,"faisalabad (pakistan)",NA,"changing"
2003-03-21,"fakenham&#44 norfolk  (uk/england)",NA,"changing"
2006-10-30,"falcon","us","changing"
2005-05-11,"fallbrook","us","changing"
2001-03-16,"fallston","us","changing"
2007-06-12,"fargo","us","changing"
2011-05-29,"farmington","us","changing"
2009-06-09,"farmington","us","changing"
2000-06-21,"farmington hills","us","changing"
2003-09-24,"fayetteville","us","changing"
2001-02-18,"fayetteville","us","changing"
2013-09-30,"fayetteville","us","changing"
2002-09-28,"fayetteville","us","changing"
2013-09-30,"fayetteville","us","changing"
2007-02-01,"federal way","us","changing"
2010-08-24,"felton","us","changing"
2008-10-31,"felton","us","changing"
2008-10-31,"fenton","us","changing"
2007-02-01,"fergus/guelph (canada)",NA,"changing"
2009-12-12,"ferndale","us","changing"
2005-05-11,"finland",NA,"changing"
2013-10-14,"fishers","us","changing"
2013-11-11,"flagstaff","us","changing"
2008-07-05,"flint","us","changing"
2008-07-05,"flint","us","changing"
2013-09-30,"flint","us","changing"
2003-11-26,"floral city","us","changing"
1999-11-02,"florence","us","changing"
2013-05-15,"florence","us","changing"
2010-02-14,"florissant","us","changing"
2014-05-08,"flower mound","us","changing"
2003-11-26,"fontana","us","changing"
2009-08-05,"forest groce",NA,"changing"
2005-11-03,"forest hills","us","changing"
2011-08-21,"forest park","us","changing"
2006-05-15,"fort collins","us","changing"
2006-05-15,"fort collins","us","changing"
2011-08-07,"fort collins","us","changing"
2010-11-21,"fort mohave",NA,"changing"
2010-11-21,"fort mohave",NA,"changing"
2013-10-14,"fort myers","us","changing"
2004-04-27,"fort smith","us","changing"
2001-02-18,"fostoria","us","changing"
2004-12-03,"fountain hills","us","changing"
2005-02-08,"franklin","us","changing"
2009-08-05,"franklin","us","changing"
2009-08-27,"franklin","us","changing"
2009-08-27,"franklin","us","changing"
2007-11-28,"franklin park","us","changing"
2012-12-20,"fredericksburg","us","changing"
2009-12-12,"fredericksburg","us","changing"
2008-10-31,"fremont","us","changing"
2001-11-20,"fresno","us","changing"
2005-05-24,"fresno","us","changing"
2004-07-08,"fresno","us","changing"
2012-08-19,"fresno","us","changing"
2012-09-24,"ft. myers","us","changing"
2004-05-04,"fullerton","us","changing"
2011-08-07,"fullerton","us","changing"
2007-08-07,"fullerton","us","changing"
2002-11-20,"fullerton (from&#44 spotted 20 deg. abovew horizon)","us","changing"
2007-10-08,"gadsden","us","changing"
2006-12-07,"gaffney","us","changing"
2008-03-31,"gainesville","us","changing"
2008-01-21,"gainesville","us","changing"
2006-05-15,"gainesville","us","changing"
2009-12-12,"gainesville","us","changing"
2012-11-19,"gaithersburg","us","changing"
2013-08-30,"galesburg","us","changing"
2008-06-12,"gallup","us","changing"
1999-10-02,"galva/victoria/oak run",NA,"changing"
2011-01-05,"galveston","us","changing"
2006-10-30,"galveston","us","changing"
2007-02-01,"garden city","us","changing"
2013-05-15,"garden grove","us","changing"
2012-01-24,"garfield","us","changing"
1999-08-10,"garland","us","changing"
2007-08-07,"garland","us","changing"
2010-11-21,"gaston","us","changing"
2003-04-27,"gaylordsville","us","changing"
2005-10-20,"georgetown","us","changing"
2012-07-04,"georgetown","us","changing"
2011-07-17,"georgetown","us","changing"
1998-11-01,"georgetown","us","changing"
2004-06-23,"gerber reservoir",NA,"changing"
2007-02-01,"gila bend","us","changing"
2006-07-16,"gila indian reservation &amp; s. chandler&#44 ocotillo area",NA,"changing"
2001-02-18,"gillette","us","changing"
2007-02-24,"gillispie (along u. s. border) (canada)",NA,"changing"
